"geneID"	"HL_1mMNO3_1"	"HL_1mMNO3_2"	"HL_1mMNO3_3"	"HL_10mMNO3_1"	"HL_10mMNO3_2"	"HL_10mMNO3_3"	"LL_1mMNO3_1"	"LL_1mMNO3_2"	"LL_1mMNO3_3"	"LL_10mMNO3_1"	"LL_10mMNO3_2"	"LL_10mMNO3_3"
"55"	"Cz01g01250"	2.59154729642613	2.40082288268379	2.57291732012251	2.92067390479095	2.97088529022711	3.00627122027392	2.61826373789872	2.48146942526626	2.47673312050552	2.90637730728705	3.23257235966895	3.04945678402805
"56"	"Cz01g02010"	0.97241923303739	1.09768099167351	1.08293347511007	2.29729896175147	2.62890535494874	2.45214273317604	0.989648713396448	1.80579212103974	1.49809442833451	2.07055170186607	2.23206711263358	1.96542481847274
"57"	"Cz01g02020"	2.84081661780216	3.11668337578441	3.5551167772634	2.83613150503457	3.17159096310003	2.63473656387706	3.24420894387535	3.44583104542251	3.11580147918277	2.60433316836617	3.1115907617924	2.84028146523315
"58"	"Cz01g02030"	4.48876712446466	4.67599858528728	4.48547125458148	4.9179684661909	4.68818605041302	4.57524933867931	4.75893279747555	4.70161266370856	4.61999220394739	4.85963076670898	4.74869852664935	4.6913332959164
"59"	"Cz01g02040"	2.09145554672077	2.02821122472417	1.91735438939812	2.77191263802675	2.89222415166986	2.64339726678569	2.16492117912313	2.20686464759117	2.17052545685449	2.3779175930258	2.42925779749384	2.44482210136409
"60"	"Cz01g02050"	6.30012125849646	6.32072175924632	6.43241949457574	5.96043175987628	6.08045417625049	5.91052824571157	6.03962743477809	6.10416989936461	6.24553985124188	5.73102946766364	5.86964603698129	5.85642757498191
"61"	"Cz01g02060"	9.88567084692785	9.8349270181284	9.71388938604234	9.90163141523552	9.67009990128991	9.67009990128991	9.93406798938919	9.76959970504922	9.70715547934582	9.79729713234542	9.76959970504922	9.79729713234542
"62"	"Cz01g02070"	8.34245324291806	8.27297121914222	8.47145286112934	8.71221540816712	8.90646357504178	8.86558613304322	8.23286912980299	8.33887711313338	8.33391959369336	8.79162444569383	8.85847965037675	8.77062318407687
"63"	"Cz01g02080"	0	0	0	0	0	0	0	0	0	0	0	0
"64"	"Cz01g02090"	0	0	0	0	0	0.235077483970458	0	0	0	0	0	0
"65"	"Cz01g02100"	7.33758151126895	7.27627831403841	7.38399179735045	7.15914765143193	7.2367658418139	7.28695479097192	7.29407043225095	7.33580245925741	7.2991854390611	7.24267634855017	7.27256569812525	7.30477722111947
"66"	"Cz01g02110"	0.303483946251942	0.253932192858598	0.25106290126844	0.462132231113107	0.260314368786285	0.139399662472575	0.278540139352785	0.128981786454948	0.0764101617390448	0.189463558555395	0.215291272763717	0
"67"	"Cz01g02120"	0.0527241657352312	0.0623509420790324	0.0304190720052039	0	0.221053501614292	0.210020911803373	0.0828616756644832	0.0517012367323621	0.159134061777344	0.170735813137551	0.178016872009297	0.108050822517692
"68"	"Cz01g02130"	0	0	0	0	0	0	0	0	0	0	0	0
"69"	"Cz01g02140"	0	0	0	0	0	0	0	0	0	0	0	0
"70"	"Cz01g02150"	2.23906038640114	2.36516710061416	2.37851043854638	1.26430609931755	1.48305627109204	1.58317792671003	1.97966534161148	1.95216136444013	2.22410480052424	2.03315871288474	1.78085035658054	1.68174478798063
"71"	"Cz01g02160"	4.9045135883423	4.90381194610213	4.67654670422537	4.82739947791996	4.87379514581635	4.81521952004332	4.80521452569029	4.88621393338224	4.77979345673629	4.73440232267949	4.87018479164542	5.07103564603867
"72"	"Cz01g02170"	2.24462736110525	2.8787258902305	2.3881896196829	0.790347512529273	0	1.21907171328777	2.92520724777008	2.89275391502327	2.3819233233442	1.24421905086554	0.582483714492767	0.359716803559456
"73"	"Cz01g02180"	4.9451339281408	4.92289101767322	4.91336034633475	4.90535710212231	4.9171467486661	4.9171467486661	4.95497556689191	4.98575672192874	4.97453672339614	4.96406215201305	4.88980186715462	4.89214466547496
"74"	"Cz01g02190"	4.14773822071318	4.10899254221958	4.33163830519721	5.09847496820693	5.46320824767895	5.64973392496022	4.51834333677253	4.55068411173161	4.67027676735449	5.80646968114733	5.98676324778787	5.74212913071716
